repo	theme	total	open	top
anthropics/claude-code	compaction	9658	1570	#6235(6559,closed) Feature Request: Support AGENTS.md. || #42796(3286,closed) [MODEL] Claude Code is unusable for complex engineering tasks with the || #18435(898,open) [FEATURE] Add the ability to manage multiple Claude accounts within th || #3648(837,closed) Terminal Scrolling Uncontrollably During Claude Code Interaction || #826(822,open) [BUG] Console scrolling top of history when claude add text to the con
openai/codex	compaction	3217	2105	#2109(689,closed) Event Hooks || #28224(616,closed) Codex SQLite feedback logs can write ~640 TB/year and rapidly consume  || #28879(560,closed) Codex (gpt-5.5, Plus plan) — rate-limit cost per token jumped ~10-20x  || #9203(464,open) Please make "/undo" back || #4313(455,closed) Extension for JetBrains IDEs (PyCharm, IntelliJ, etc.)
google-gemini/gemini-cli	compaction	536	40	#22141(164,closed) Gemini CLI becomes extremely slow (1+ HOURS) / stuck during small code || #3132(150,open) [Agents] Post V1.0 Work || #19532(124,open) Add gemini-3.1-pro-preview || #2779(103,closed) Feature Request: Implement a Hooks System for Custom Automation and Wo || #24937(95,open) Tracking: 429 / Capacity Issues
anomalyco/opencode	compaction	1903	403	#7410(420,closed) Broken Claude Max || #1686(271,closed) Add OpenAI auth login like claude || #12661(189,closed) [FEATURE]: Add Agent Teams Equivalent or Better || #7101(167,closed) [FEATURE]: Allow custom system prompts in global, project or custom di || #6152(144,open) [FEATURE]: Session context usage (similar to /context in Claude)
Aider-AI/aider	compaction	198	55	#3314(244,open) MCP SUPPORT || #2227(119,open) Feature: Add GitHub Copilot as model provider || #172(27,closed) Support for other LLMs, local LLMs, etc || #3005(18,closed) DeepSeek is having a major outage. Their API is slow and/or non-respon || #69(18,closed) Feature Request: Learn from Documentation
OpenHands/OpenHands	compaction	288	15	#2469(18,closed) Feature Request: VSCode Extension for Prompt Requests with selected co || #8560(7,closed) [PRD] Fork a Conversation || #5715(6,closed) Memory Condensation || #7183(5,closed) [Bug]: AgentStuckInLoopError: Agent got stuck in a loop || #120(5,closed) Create Aider Agent
cline/cline	compaction	652	67	#5915(58,open) "Cline uses complex prompts and iterative task execution that may be c || #1157(41,closed) API Request loading indefinitely, not completing. || #4356(29,open) Improve Terminal Integration Reliability Across Platforms and Shell Co || #1418(26,closed) Cline + deepseek R1 on local ollama cannot use tools || #511(23,closed) Cline not sending the task to locally hosted Ollama 
RooCodeInc/Roo-Code	compaction	356	75	#1203(68,closed) VS Code LM API - Copilot - Claude 3.7 Sonnet - "Model is not supported || #2462(16,closed) No context length setting in advanced configuration (unlike said in th || #1138(12,closed) Context window always shows zero token when using local LLM || #5601(11,closed) Extension Gray/Blank Screen Issue - Consolidated Investigation & Curre || #8041(10,open) [BUG] Multi-root workspace: Roo treats one folder as root and blocks a
Kilo-Org/kilocode	compaction	257	46	#5460(20,closed) Gemini CLI removed || #2778(11,closed) GLM-4.6 context window inconsistent. || #3967(8,closed) Minimax error: invalid params, tool call id is invalid (2013) || #5846(8,closed) anthropic/claude-opus-4.6 is not in model list || #9494(6,open) compaction strategy/experience is horrible
aaif-goose/goose	compaction	221	26	#1208(7,closed) Real time feedback on remaining context window length || #855(7,closed) Title: Feature Request: Add Windows Operating System Support || #8780(6,closed) Custom provider context_limit not reflected in Desktop UI — hard to ch || #1817(6,closed) Unhelpful responses for Tool Calling functionality with Ollama || #6957(6,closed) GitHub Copilot authentication stuck on "Signing in..." in Windows Desk
anthropics/claude-agent-sdk-python	compaction	41	22	#23(18,open) non-interactive `/compact` || #120(9,open) slash commands || #165(8,closed) 1M context window for claude_code_sdk || #507(7,closed) [Feature Request] Add /context command support to SDK for programmatic || #772(4,open) Feature: session lifecycle hooks for context compaction and window thr
